source_player_id,player_name,birth_date,country,season,league,role,age,sample_size,k_pct,bb_pct,iso,contact_pct,chase_pct,avg_fastball_velocity,zone_pct,sprint_speed,biomech_score
INT-0001,Andres Kim,1999-09-06,Venezuela,2022,Dominican Summer League,Position Player,23,578,0.23335281303877953,0.07675398847935536,0.06348819422241371,0.6986275558217164,0.2949893258948223,,,25.939427426202833,56.72237543047011
INT-0001,Andres Kim,1999-09-06,VZ,2023,Dominican Summer League,Position Player,24,274,0.24608165278158178,0.07304388346466131,0.02974045407567885,0.7299867759983303,0.2946356721112912,,,24.530104849543427,42.16426280855816
INT-0001,Andres Kim,1999-09-06,Venezuela,2024,Dominican Summer League,Position Player,25,421,0.19621001249431297,0.11145509936707187,0.024772177306577783,0.7168821533195968,0.2979417812061154,,,26.828757539598598,49.9252744418322
INT-0001,Andres Kim,1999-09-06,Venezuela,2025,Complex League,Position Player,26,583,0.18833624072639604,0.09548031862780362,0.053212487886740205,0.7576848602472661,0.2501219423247923,,,25.939654889201023,46.34664641643653
INT-0002,JI-HO SATO,2003-03-03,Cuba,2022,Cuban National Series,Position Player,19,155,0.19351156351441123,0.084337324974521,0.07226546117492302,0.7338148020155033,0.2502865219000976,,,25.041273010836772,37.901852133572994
INT-0002,Ji-ho Sato,2003-03-03,Cuba,2023,Cuban National Series,Position Player,20,118,1.25,0.0979970937531598,0.11162020909850236,0.7740244107772138,0.2377762376060385,,,25.80987047927633,41.949456364518014
INT-0002,Ji-ho Sato,2003-03-03,Cuba,2024,Independent,Position Player,21,324,0.24085359021123182,0.13215812213193973,0.08018788979504343,0.7299506788615716,0.21507095590308944,,,25.80138860417163,48.89876559630276
INT-0002,Ji-ho Sato,2003-03-03,Cuba,2025,Cuban National Series,Position Player,22,309,0.21818456991248608,0.09864911000701022,0.13563162234019782,0.7882131462694876,0.23061004164506207,,,25.027814836363557,47.14288911840734
INT-0003,Haruto Kim,2003-01-15,Dominican Republic,2022,Complex League,Position Player,19,315,0.1916750495250727,0.12369571791560809,0.1465191919960026,0.7852437141077044,0.289895078629117,,,25.749735560941623,45.22697684433347
INT-0003,Haruto Kim,2003-01-15,Dominican Republic,2023,Complex League,Position Player,20,367,0.21365670057273442,0.07878954573087191,0.1358378669869989,0.7880388172191506,0.22986889347066616,,,27.224377661580526,46.85771670547927
